Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
BelleCarri̬re,Work wear,7,2023,7-day click or 1-day view,Reach,Awareness,268031,19,765200,268031,275500,37.31,10000,1.02786618,1692,5.91016548,0.61415608,36.29764065,16925,,,16925,52,1,2,,3469,1296,670,390,318,180954,1742,1196,0.43411978,0.44472468,1192,0.43303085,8.36120401,8.38926174,8.38222967
Up to 50% Off - Retargeting Audience,Promotions,7,2023,7-day click or 1-day view,Landing page views,Consideration,914,17,698500,24728,58251,10.94,10000,2.35566969,3721,2.68744961,6.38787317,171.6708726,1572,,2,1573,65,7,3,448,,,,,,,,1047,1.79739404,3.72047881,920,1.78881049,9.55109838,10.86956522,9.59692898
Up to 50% Off - Normal Audience,Promotions,7,2023,7-day click or 1-day view,Landing page views,Consideration,1480,19,765400,43063,78179,6.76,10000,1.81545642,5585,1.7905103,7.14386216,127.9115875,2523,,,2524,81,10,9,600,,,,,,,,1823,2.33182824,3.77121891,1624,2.32287443,5.48546352,6.15763547,5.50660793
Upto 50% OFF - Retargeting,Promotions,7,2023,7-day click or 1-day view,Reach,Awareness,287933,21,845000,287933,295125,34.73,10000,1.02497803,2250,4.44444444,0.76238882,33.88394748,808,,1,809,75,6,1,504,,,,,,,,221,0.07488352,0.07571206,218,0.07352817,45.24886878,45.87155963,46.08294931
Upto 50% OFF - New Audience,Promotions,7,2023,7-day click or 1-day view,Reach,Awareness,241278,23,935800,241278,255261,41.45,10000,1.0579539,1206,8.29187396,0.4724576,39.17558891,461,,1,461,32,4,1,316,,,,,,,,107,0.04191788,0.04351827,105,0.04152612,93.45794393,95.23809524,94.33962264
Upto 50% OFF - Normal Audience,Promotions,7,2023,7-day click or 1-day view,Reach,Awareness,280255,26,1054000,280255,289469,35.68,10000,1.0328772,1074,9.31098696,0.37102419,34.54601356,487,,,490,30,,,330,,,,,,,,127,0.04387344,0.04424542,124,0.04180068,78.74015748,80.64516129,82.6446281
BelleCarri̬re - Retargeting,Work wear,7,2023,7-day click or 1-day view,Website purchases,Conversion,9,9,365000,8072,23557,1111.11,10000,2.91835976,830,12.04819277,3.52336885,424.5022711,2889,,,2889,31,2,2,,1058,590,387,222,170,15089,678,342,1.45179777,3.67938553,297,1.44755274,29.23976608,33.67003367,29.3255132
Nuova (IG) ,Casual wear,9,2023,7-day click or 1-day view,Landing page views,Consideration,229,14,558500,26454,41956,43.67,10000,1.58599834,885,11.29937853,2.10935266,238.3437411,9082,,,9082,70,7,1,,3336,1662,1140,363,311,35143,1579,302,0.7198017,1.10758297,293,0.71741825,33.11241722,34.12952218,33.22242525
Mosaic,Casual wear,7,2023,7-day click or 1-day view,Reach,Awareness,288382,28,1135400,288382,295180,34.23,9872,1.0235729,738,13.37701897,0.25001694,33.44481333,13331,,1,13332,42,,2,,8472,2552,1388,775,696,174697,1271,431,0.1460126,0.14876102,429,0.14431872,22.90542923,23.01221445,23.1742723
Mosaic Link Click,Casual wear,7,2023,7-day click or 1-day view,Link clicks,Unknown,264,39,1574000,47506,97265,34.4,9082,2.04742559,458,19.82875546,0.47087853,93.36935177,424,,,424,155,5,,,,,,,,,,264,0.27142343,0.53256431,253,,34.39988636,35.8955336,
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,ThruPlay,Awareness,27241,18,745000,24759,41100,0.33,8946,1.66000242,271,33.01228782,0.6593674,217.6722628,31832,,,31832,4,,,,30205,28529,27691,24316,19243,39712,27241,246,0.59854015,0.96126661,238,0.59367397,36.36719512,37.58962185,36.66528689
Travail (IG),Work wear,9,2023,7-day click or 1-day view,Landing page views,Consideration,228,13,536900,16247,26874,33.18,7564,1.65408999,735,10.29180952,2.73498549,281.4794969,6837,,,6837,62,4,4,,3757,1847,1002,369,340,23115,812,265,0.9860832,1.51412568,246,0.9860832,28.54520755,30.7499187,28.54520755
Travail (FB),Work wear,8,2023,7-day click or 1-day view,Landing page views,Consideration,1698,18,732500,31560,57521,4.45,7550,1.82259189,3437,2.19670061,5.97520905,131.2574538,5913,,,5913,29,2,1,,2155,1211,798,293,247,4798,754,3161,5.49538429,9.10646388,2874,5.49538429,2.38850364,2.62702157,2.38850364
BelleCarri̬re,Work wear,7,2023,7-day click or 1-day view,Website purchases,Conversion,3,3,136500,7920,18600,2161.18,6484,2.34848485,610,10.62877049,3.27956989,348.577957,2093,,,2093,29,2,,,1677,923,631,473,431,9696,590,264,1.41935484,2.76515152,219,1.41935484,24.55890152,29.60525114,24.55890152
Blossome,Work wear,5,2023,7-day click or 1-day view,ThruPlay,Awareness,14891,19,764900,24464,32555,0.37,5490,1.33073087,285,19.26403509,0.87544156,168.6453694,19451,,,19451,13,1,2,,16831,15446,9496,7758,7696,30085,14891,233,0.71571187,0.92789405,227,0.71571187,23.56330472,24.18612335,23.56330472
Vogueur FB,Work wear,8,2023,7-day click or 1-day view,ThruPlay,Awareness,11423,19,767500,44608,56795,0.44,5000,1.27320212,915,5.46448087,1.61105731,88.03591865,33933,,2,33933,127,13,11,,21923,13760,7479,3326,2804,50894,11423,464,0.81697333,1.02672166,458,0.81521261,10.77586207,10.91703057,10.79913607
Vogueur Collection FB,Work wear,8,2023,7-day click or 1-day view,Reach,Awareness,154727,23,938500,154727,177661,32.31,5000,1.14822235,1626,3.07503075,0.91522619,28.14348675,1395,,1,1395,36,3,,1201,,,,,,,,154,0.08668194,0.09888384,153,,32.46753247,32.67973856,
BelleCarri̬re,Work wear,7,2023,7-day click or 1-day view,Post engagements,Awareness,19241,27,1098500,62816,108705,0.26,5000,1.73053044,19840,0.25201613,18.25123039,45.99604434,19241,,3,19241,1080,32,50,16384,,,,,,,,1692,1.55650614,2.53279419,1591,0.02575778,2.95508274,3.14267756,178.5714286
Nuova (IG),Casual wear,9,2023,7-day click or 1-day view,ThruPlay,Awareness,3667,11,447500,28231,41834,1.36,5000,1.4818462,268,18.65671642,0.64062724,119.5200077,16976,,,16976,104,4,1,,7275,3787,2581,951,858,37058,3667,54,0.12908161,0.18419468,52,0.12908161,92.59259259,96.15384615,92.59259259
Mosaic,Casual wear,7,2023,7-day click or 1-day view,Post engagements,Awareness,23638,24,965400,69984,145406,0.21,5000,2.07770348,24600,0.20325203,16.91814643,34.38647649,23638,,,23638,700,28,17,20885,,,,,,,,2008,1.3809609,2.64917695,1854,0.01994416,2.49003984,2.69687163,172.4137931
Nuova (FB),Casual wear,9,2023,7-day click or 1-day view,ThruPlay,Awareness,11768,12,487000,62362,75188,0.42,5000,1.20567012,1104,4.52898551,1.46831941,66.4999734,35981,,1,35981,107,8,5,,19737,12118,8344,2738,2090,64908,11768,596,0.79267968,0.94608896,590,0.79134968,8.38926174,8.47457627,8.40336134
Nouveau,Work wear,6,2023,7-day click or 1-day view,Post engagements,Awareness,24608,16,605800,80032,156340,0.2,5000,1.95346861,25311,0.19754257,16.18971472,31.98157861,24608,,2,24608,911,42,50,21638,,,,,,,,1965,1.25687604,2.30907637,1848,0.01407189,2.54452926,2.70562771,227.2727273
Sleek and Suit,Work wear,8,2023,7-day click or 1-day view,Post engagements,Awareness,10814,17,674000,76175,119584,0.46,5000,1.56985888,11519,0.43406546,9.63255954,41.81161359,10814,,3,10814,627,58,26,9326,,,,,,,,774,0.64724378,0.96882179,738,0.03261306,6.45994832,6.77506775,128.2051282
Vision Pro Post,Promotions,6,2023,7-day click or 1-day view,Reach,Awareness,182178,17,625400,182178,187660,27.45,5000,1.03009145,419,11.93317422,0.22327614,26.64393051,207,,,207,26,1,2,165,,,,,,,,13,0.00692742,0.00658696,12,,384.6153846,416.6666667,
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Post engagements,Awareness,23724,11,445800,79774,149355,0.21,5000,1.87222654,24704,0.20239637,16.5404573,33.47728566,23724,,1,23724,594,22,8,21395,,,,,,,,1704,1.1409059,2.02446913,1615,0.01406046,2.9342723,3.09597523,238.0952381
Vogueur,Work wear,8,2023,7-day click or 1-day view,Post engagements,Awareness,20951,18,725000,66405,136536,0.24,5000,2.05611023,21904,0.22826881,16.04265542,36.62037851,20951,,3,20951,1160,41,60,17858,,,,,,,,1829,1.33957345,2.5193886,1673,0.01831019,2.73373428,2.98864316,200
Tropical Getaway,Casual wear,8,2023,7-day click or 1-day view,ThruPlay,Awareness,12881,16,645800,10852,16615,0.39,5000,1.53105418,65,76.91938462,0.39121276,300.9184472,14412,,,14412,2,,,,13766,13299,12996,10443,10417,16254,12881,64,0.3851941,0.58053815,63,0.3851941,78.12125,79.36126984,78.12125
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Post engagements,Awareness,8763,12,498700,63201,104665,0.55,4841,1.65606557,9378,0.51617189,8.96001529,46.2490804,8763,,2,8763,305,47,6,7885,,,,,,,,518,0.49491234,0.79112672,500,0.02770745,9.34490347,9.68132,166.9193103
Travail (FB),Work wear,9,2023,7-day click or 1-day view,ThruPlay,Awareness,5948,13,529000,34453,41963,0.71,4247,1.21797812,653,6.50376723,1.55613278,101.207254,22211,,3,22211,83,7,4,,16600,9189,6483,1950,1729,36898,5948,351,0.83645116,0.98685165,340,0.83406811,12.09960114,12.49105882,12.13417143
Travail (IG),Work wear,9,2023,7-day click or 1-day view,ThruPlay,Awareness,1717,18,736500,18545,26527,2.21,3800,1.43041251,192,19.79244792,0.72379085,143.2559279,10904,,,10904,95,7,5,,6895,3206,1862,817,776,23710,1717,47,0.17717797,0.2480453,46,0.17717797,80.85425532,82.61195652,80.85425532
Up to 50% Off - Retargeting Audience,Promotions,7,2023,7-day click or 1-day view,Landing page views,Consideration,215,25,1047500,7500,10530,7.42,1596,1.404,801,1.99200999,7.60683761,151.5289649,388,,,388,11,1,,110,,,,,,,,266,2.52611586,3.26666667,245,2.50712251,5.99849624,6.51265306,6.04393939
Pin-tucked Sleeve WW Top (FB),Promotions,,2023,7-day click or 1-day view,Reach,Awareness,25352,,0,25352,26818,39.44,1000,1.05782581,205,4.87804878,0.76441196,37.2883884,147,,1,147,8,,,130,,,,,,,,8,0.02983071,0.02761123,7,0.01118652,125,142.8571429,333.3333333
3/4 Sleeve WW Dress (FB),Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,25169,19,739800,25169,26426,39.73,1000,1.04994239,230,4.34782609,0.87035495,37.84151972,149,,,149,5,1,,118,,,,,,,,25,0.0946038,0.09932854,25,0.00378415,40,40,1000
Floral Printed WW Top (FB),Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,24544,21,847500,24544,26052,40.74,1000,1.06144068,285,3.50877193,1.09396591,38.38476892,207,,,207,7,2,,161,,,,,,,,37,0.14202365,0.14667536,36,,27.02702703,27.77777778,
Short Sleeve WW Shift Dress (FB),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,1100,22,897500,9417,10709,0.91,1000,1.13719868,1214,0.82372323,11.33625922,93.3794005,1100,,,1100,280,5,2,808,,,,,,,,5,0.0466897,0.05309547,5,0.03735176,200,200,250
3/4 Sleeve WW Dress (FB),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,1109,23,928900,9598,10928,0.9,1000,1.13857054,1191,0.83963056,10.89860908,91.50805271,1109,,1,1109,264,4,3,721,,,,,,,,116,1.06149341,1.18774745,114,0.03660322,8.62068966,8.77192982,250
Floral Printed WW Top (FB),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,2373,24,965800,13757,15622,0.42,1000,1.13556735,2572,0.38880249,16.46396108,64.01229036,2373,,,2373,181,7,5,1811,,,,,,,,369,2.36205351,2.58050447,355,0.06401229,2.7100271,2.81690141,100
Short Sleeve WW Shift Dress (FB),Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,24657,18,725400,24657,25512,40.56,1000,1.03467575,157,6.36942675,0.61539668,39.19724051,102,,,102,6,,1,91,,,,,,,,4,0.0156789,0.01622257,4,,250,250,
Casual Floral Printed Top (FB ),Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,29711,19,768500,29711,31008,33.66,1000,1.04365387,498,2.00803213,1.60603715,32.249742,380,,,380,15,4,1,306,,,,,,,,54,0.17414861,0.17501935,52,0.00322497,18.51851852,19.23076923,1000
Casual Floral Printed Top (FB ),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,3346,23,936800,17012,18419,0.3,1000,1.08270632,3550,0.28169014,19.2735762,54.29176394,3346,,,3346,151,15,3,2698,,,,,,,,479,2.60057549,2.7568775,469,0.02714588,2.08768267,2.13219616,200
Casual Floral Printed Top (FB),Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,32568,24,978500,32568,33696,30.7,1000,1.03463522,1061,0.94250707,3.14874169,29.67711301,932,,,932,31,17,2,739,,,,,,,,143,0.42438272,0.42065831,137,0.01187085,6.99300699,7.29927007,250
Casual Stripped Top,Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,28536,22,897400,28536,29986,35.04,1000,1.05081301,280,3.57142857,0.93376909,33.34889615,201,,,201,5,1,,168,,,,,,,,27,0.09004202,0.09461733,27,,37.03703704,37.03703704,
Casual Floral Embroidered Dress (FB),Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,30480,20,815000,30480,30837,32.81,1000,1.0117126,355,2.81690141,1.15121445,32.42857606,310,,,310,6,1,,274,,,,,,,,29,0.09404287,0.09514436,29,,34.48275862,34.48275862,
Casual Stripped Top (FB),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,1457,8,328500,10138,11467,0.69,1000,1.13109094,1550,0.64516129,13.51704892,87.20676725,1457,,,1457,281,3,2,1045,,,,,,,,126,1.09880527,1.22312093,124,0.00872068,7.93650794,8.06451613,1000
Casual Floral Embroidered Dress (FB),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,2611,9,369540,12180,14167,0.38,1000,1.16313629,2665,0.37523452,18.81132209,70.58657443,2611,,,2611,89,1,4,2358,,,,,,,,159,1.12232653,1.29720854,158,0.01411731,6.28930818,6.32911392,500
Casual Floral Printed Top (FB ),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,2152,19,765800,13376,14795,0.46,1000,1.10608553,2353,0.42498938,15.90402163,67.59040216,2152,,1,2152,242,13,2,1607,,,,,,,,287,1.93984454,2.11572967,283,0.04055424,3.48432056,3.5335689,166.6666667
Pin-tucked Sleeve WW Top (FB),Promotions,9,2023,7-day click or 1-day view,Post engagements,Awareness,1206,18,725400,9847,11061,0.83,1000,1.12328628,1313,0.76159939,11.87053612,90.40593075,1206,,1,1206,143,3,,1051,,,,,,,,8,0.07232619,0.08124302,8,0.06328542,124.9975,124.9975,142.8542857
Short Sleeve WW Shift Dress (IG),Promotions,9,2023,7-day click or 1-day view,Reach,Awareness,20615,13,529600,20615,20790,48.51,1000,1.00848896,39,25.64051282,0.18759019,48.0990861,27,,,27,9,,,,,,,,,,,18,0.08658009,0.08246423,17,0.08658009,55.55444444,58.82235294,55.55444444
Party Wear Video,Promotions,5,2023,7-day click or 1-day view,Website purchases,Conversion,2,2,87500,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20% Off on Party Wear,Promotions,5,2023,7-day click or 1-day view,,Unknown,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20% OFF on Party Wear,Promotions,5,2023,7-day click or 1-day view,Website purchases,Conversion,5,5,215800,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20% OFF on Party Wear,Promotions,5,2023,7-day click or 1-day view,Landing page views,Consideration,8,2,83600,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
